file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0720_0034_410712_to_417421,མ་མཇལ་ཡུན་རིང་། ཧ་ཧ་མ་མཇལ་ཡུན་རིང་། ཁམས་བཟང་། ཁམས་བཟང། ཁྱེད་རང་ལ་ཐུགས་སུན་ཞུ་དགོས་ཁེེལ་སོང་ད། འཛེམ་མ་བྱེད་ད། བཞུགས་ད།  ,ma mjal yun ring /_ha ha ma mjal yun ring /_khams bzang /_khams bzang/_khyed rang la thugs sun zhu dgos khe+el song da/_'dzem ma byed da/_bzhugs da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0720_0034_410712_to_417421.wav,STT_MV,3,119,6.709,wav16k/STT_MV0720_0034_410712_to_417421.wav,མ་མཇལ་ཡུན་རིང་། མ་མཇལ་ཡུན་རིང་།ཁམས་བཟང་། ཁྱེད་རང་ལ་ཐུགས་འསུན་ཞུ་དགོས་ཁེལ་སོང་ང་། འཛེམས་པ་མ་བྱེད་ད། བཞུགས་དང།
STT_MV0720_0066_663892_to_670636,རུས་དཔོན་ཧྥིང་ལགས། གསང་གྲོལ་མཁས་དབང་གིས་གསང་རྟགས་བཀྲོལ་བྱས་ཚུར་བསྐུར་ཤག་ ,rus dpon h+phing lags/_gsang grol mkhas dbang gis gsang rtags bkrol byas tshur bskur shag _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0720_0066_663892_to_670636.wav,STT_MV,3,73,6.744,wav16k/STT_MV0720_0066_663892_to_670636.wav,རུ་དཔོན་ཧྥིང་ལགས། གསང་གྲོའ་མཁས་དབང་གིས་གསང་རྟག་བཀྲོལ་བྱས་ཚུར་བསྐུར་ཤག
STT_MV0720_0068_683868_to_687943,རུ་དཔོན་ཧྥིང་ལགས། གསང་གྲོལ་མཁས་དབང་འཇོན་པ་ལ་དཔེ་རེད་ཤག ,ru dpon h+phing lags/_gsang grol mkhas dbang 'jon pa la dpe red shag_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0720_0068_683868_to_687943.wav,STT_MV,3,55,4.075,wav16k/STT_MV0720_0068_683868_to_687943.wav,རུ་དཔོན་ཧྥིང་ལགས། གསང་འགྲུལི་མཁས་དབང་འྱོན་པ་ལ་དཔེ་རེད་ཤག
STT_MV0720_0010_99455_to_108816,བུ་ཁ་ཤས་ཤིག་མཉམ་དུ་རྩེད་མོ་རྩེ་ག་ཕྱིན་པ་ག་རེ་ཡོད་རེད། ཨ་རག་བཏུང་བྱས་ལོག་མ་ཐུབ་ནས་ག་རེ་ཡོད། ཡིན་ནས་ ,bu kha shas shig mnyam du rtsed mo rtse ga phyin pa ga re yod red/_a rag btung byas log ma thub nas ga re yod/_yin nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0720_0010_99455_to_108816.wav,STT_MV,3,99,9.361,wav16k/STT_MV0720_0010_99455_to_108816.wav,བུ་ཁ་ཤས་ཤིག་མཉམ་དུ་རྩེད་མོ་རྩེ་གི་ཕྱིན་པ། ག་རེ་ཡོད་རེད། ཨ་རག་བཏུང་བྱས་ལོག་མ་ཐུབ་ནས་ག་རེ་ཡོད་རེད། ཡིན་ནས་
STT_NS_M0461_0075_471407_to_474445,ལམ་སང་ང་དང་པོ་ངས་ཡོད་བ་ཡང་ཨོ།  ,lam sang nga dang po ngas yod ba yang o/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0461_0075_471407_to_474445.wav,STT_NS,3,31,3.038,wav16k/STT_NS_M0461_0075_471407_to_474445.wav,ལམ་སང་ང་དང་པོ་ངེས་ཡོད་བ་ཡཨོ།
STT_MV0765_0076_480519_to_490043,ཡ། ཝ་ཡེ་ཝ་ཡེ་ཝ་ཡེ། དོ་དམ་པ། ད་རིང་རང་སྒོ་མ་ཕྱེ་ན་ངས་རང་ལས་སླ་པོ་བཞག་གི་མེད་དཱ། སྒོ་ཕྱེས་དང་། སྒོ་ཕྱེས་དང་བྱས། འདི་འདྲ་བྱེད་ཡ་ག་རེ་ཡིན་ན།  ,ya/_wa ye wa ye wa ye/_do dam pa/_da ring rang sgo ma phye na ngas rang las sla po bzhag gi med dA/_sgo phyes dang /_sgo phyes dang byas/_'di 'dra byed ya ga re yin na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0765_0076_480519_to_490043.wav,STT_MV,3,138,9.524,wav16k/STT_MV0765_0076_480519_to_490043.wav,ཡ། ཝ་ཡེ། ཡེ། ཝ་ཡེ། དོ་དམ་པ། དེ་རིང་རང་སྒོ་མ་ཕྱེས་ན་ངས་རང་ལས་སླ་པོ་བཞག་གི་མིན་ད། སྒོ་ཕྱེས་དང་། སྒོ་ཕྱེས་དང་བྱས། དེ་འདྲས་བྱེད་ཡ་ག་རེ་ཡིན་ད།
STT_MV0720_0026_276001_to_282755,ཅིང་ཅིང་། རང་གིས་མོ་ཊ་གཞན་དག་ཅིག་བཏང་བྱས་རླུང་ཙི་ཡོད་སར་ང་སྒུག་སྡོད ,cing cing /_rang gis mo Ta gzhan dag cig btang byas rlung tsi yod sar nga sgug sdod_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0720_0026_276001_to_282755.wav,STT_MV,3,68,6.754,wav16k/STT_MV0720_0026_276001_to_282755.wav,ཅིང་ཅིང་། རང་གིས་མོ་ཊ་གཞན་དག་ཅིག་བཏང་བྱས་རླུང་རྩི་ཡོད་སར་ང་སྒུག་སྡོད།
STT_MV0720_0028_325185_to_334429,ཙི་ཙི་དཀར་པོ་དོན་སོང་།  ,tsi tsi dkar po don song /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0720_0028_325185_to_334429.wav,STT_MV,3,24,9.244,wav16k/STT_MV0720_0028_325185_to_334429.wav,ཙི་ཙི་དཀར་པོ་དོན་སོང་།
STT_MV0953_0260_1828381_to_1829389,ཞུས་ཙི་ལིས་ཀིས་ ,zhus tsi lis kis _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0953_0260_1828381_to_1829389.wav,STT_MV,3,16,1.008,wav16k/STT_MV0953_0260_1828381_to_1829389.wav,ཞུས་ཙི་ལིས་ཀིས།
STT_MV0953_0232_1666917_to_1671514,དངོས་གནས་ཁོང་ཚོས་བཤད་ཡ་གི་ཞུས་ཙི་ལིས་རེད་པེ།  ,dngos gnas khong tshos bshad ya gi zhus tsi lis red pe/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0953_0232_1666917_to_1671514.wav,STT_MV,3,46,4.597,wav16k/STT_MV0953_0232_1666917_to_1671514.wav,དངོས་གནས་ཁོང་ཚོས་བཤད་ཡ་གི་ཞུས་ཙི་ལིས་རེད་པེ།
STT_MV0720_0037_436850_to_440850,གསང་འདོན་གནང་རོགས་ཞུ་ཡ་ཡིན། རང་གིས་འབྲེལ་ཡོད་དཔྱད་གཞི་ཅུས་ནང་སྐུར་དང་།  ,gsang 'don gnang rogs zhu ya yin/_rang gis 'brel yod dpyad gzhi cus nang skur dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0720_0037_436850_to_440850.wav,STT_MV,3,72,4.0,wav16k/STT_MV0720_0037_436850_to_440850.wav,གསང་གྲོལ་གནང་རོགས་ཞུ་ཡ་ཡིན། རང་གིས་འབྲེལ་ཡོད་དཔྱད་གཞིའི་ཅུས་ནང་ལ་སྒུག་དང།
STT_MV0720_0038_440850_to_449620,མགྱོགས་ཤོས་སང་ཉིན་ཞོགས་ཀས་མཇུག་འབྲས་ཐོན་གི་རེད། ལ་སེ། ཁྱེད་རང་གིས་བྱས་ན་དཔེ་དེབ་འདིའི་གྲལ་ག་ ,mgyogs shos sang nyin zhogs kas mjug 'bras thon gi red/_la se/_khyed rang gis byas na dpe deb 'di'i gral ga _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0720_0038_440850_to_449620.wav,STT_MV,3,93,8.77,wav16k/STT_MV0720_0038_440850_to_449620.wav,མགྱོགས་ཤོས་ སང་ཉིན་ཞོགས་ཀས་མཇུག་འབྲས་ཐོན་གི་རེད། ལ་སོ། ཁྱེད་རང་གིས་བྱས་ན་དཔེ་དེབ་འདིའི་གྲས་ཀང་
STT_MV0720_0039_449620_to_451979,དཔེ་དེབ། འདིར་ཞོག་ད་ ,dpe deb/_'dir zhog da _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0720_0039_449620_to_451979.wav,STT_MV,3,21,2.359,wav16k/STT_MV0720_0039_449620_to_451979.wav,དཔེ་དེབ། ཨའདིར་ཞོག་དང་།
STT_MV0907_0017_90609_to_95925,ཤོད་ཀི་སྒོ་ར་དེ་ང་ཚོའི་གྲོང་ཚོའི་དྲི་སྐམ་བཏང་ས་ལས་ཞེ་དྲག་གིས་རྒྱ་ཆེ་བ་འདུག་ག། དངོས་གནས་ཡིན།  ,shod ki sgo ra de nga tsho'i grong tsho'i dri skam btang sa las zhe drag gis rgya che ba 'dug ga/_dngos gnas yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0907_0017_90609_to_95925.wav,STT_MV,3,93,5.316,wav16k/STT_MV0907_0017_90609_to_95925.wav,ཤུད་ཀི་སྒོ་ར་འདེ་ ང་ཚོའི་གྲོང་ཚོའི་དྲི་སྐམ་བཏང་སི་ལས་ཞེ་དྲག་གི་རྒྱ་ཆེ་འདུག་ག དངོས་གནས་ཡིན།
STT_MV0720_0025_264591_to_271888,ཙི་ཙི་རླུང་ཙིའི་ནང་འཛུལ་རྩིས་བྱེད་ཀིས།  ,tsi tsi rlung tsi'i nang 'dzul rtsis byed kis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0720_0025_264591_to_271888.wav,STT_MV,3,40,7.297,wav16k/STT_MV0720_0025_264591_to_271888.wav,ཙི་ཙི་རླུང་ཙིའི་ནང་འཛུལ་རྩིས་བྱེད་ཀིས།
